ID;Typ;Kategorie;Frage;Antworten;RichtigeAntwort;Erklaerung
122;MultipleChoice;Sicherheit;Was kennzeichnet den IPsec-Transportmodus?;Originaler IP-Header bleibt erhalten|IP-Pakete werden zu Ethernet-Frames|Es gibt stets zwei neue aeussere IP-Header|Er funktioniert nur mit L2TP;1;IPsec schuetzt vor allem die auf den IP-Header folgenden Daten.
123;MultipleChoice;Sicherheit;Welche Aussage zu IPsec AH stimmt?;AH verschluesselt Nutzdaten|AH prueft Herkunft und Integritaet|AH ist ein DHCP-Relay|AH ersetzt IKE durch einen Proxy;2;AH steht fuer Authentication Header.
124;MultipleChoice;Sicherheit;Welche IPsec-Komponente kann Nutzdaten verschluesseln?;AH|ARP|ESP|ICMP;3;ESP steht fuer Encapsulating Security Payload.
125;MultipleChoice;Sicherheit;Wofuer wird IKE bei IPsec verwendet?;Schluessel und Sicherheitsparameter aushandeln|Ethernet-Kollisionen erkennen|ICMP-Pakete senden|VLAN-Tags entfernen;1;Internet Key Exchange authentifiziert Partner und handelt Parameter aus.
126;MultipleChoice;Sicherheit;Welche Aussage ueber ein Firmen-VPN ist korrekt?;Alle Internetdaten sind automatisch geschuetzt|Schutz haengt von Tunnel und Routing ab|Es ersetzt grundsaetzlich HTTPS und Firewalls|Webseiten sehen immer die Firmen-IP;2;Ein Split-Tunnel leitet beispielsweise nur Ziele im Firmennetz durch das VPN.
127;MultipleChoice;Sicherheit;Was trifft auf L2TP ohne zusaetzliche Schutztechnik zu?;L2TP tunnelt, verschluesselt selbst nicht|Es verschluesselt wie ESP|Es vergibt DNS-Namen|Es ist identisch mit HTTPS;1;L2TP wird fuer Vertraulichkeit haeufig mit IPsec kombiniert.
128;MultipleChoice;Sicherheit;Wie ist PPTP fuer neue VPN-Verbindungen einzuordnen?;Aktuelle bevorzugte Loesung|Veraltet und wegen bekannter Schwaechen ungeeignet|Ein reiner DNS-Dienst|Synonym fuer IKEv2;2;PPTP hat bekannte Sicherheitsprobleme.
129;offeneFrage;Sicherheit;Welche IPsec-Komponente handelt Schluessel und Sicherheitsparameter aus?;;IKE;Internet Key Exchange uebernimmt die Aushandlung.
130;offeneFrage;OSI;Wie heisst die OSI-Schicht 1? (deutsch);;Bituebertragung;Schicht 1 uebertraegt Bits als elektrische, optische oder Funksignale.
131;offeneFrage;OSI;Wie heisst die OSI-Schicht 2? (deutsch);;Sicherung;Schicht 2 bildet Frames und verwendet MAC-Adressen im lokalen Netz.
132;offeneFrage;OSI;Wie heisst die OSI-Schicht 3? (deutsch);;Vermittlung;Schicht 3 nutzt IP-Adressen und leitet Pakete zwischen Netzen.
133;offeneFrage;OSI;Wie heisst die OSI-Schicht 4? (deutsch);;Transport;Schicht 4 bietet Ende-zu-Ende-Kommunikation und Ports.
134;offeneFrage;OSI;Wie heisst die OSI-Schicht 5? (deutsch);;Sitzung;Schicht 5 verwaltet Sitzungen zwischen Anwendungen.
135;offeneFrage;OSI;Wie heisst die OSI-Schicht 6? (deutsch);;Darstellung;Schicht 6 behandelt Datenformate, Kodierung und Darstellung.
136;offeneFrage;OSI;Wie heisst die OSI-Schicht 7? (deutsch);;Anwendung;Schicht 7 stellt Netzwerkdienste fuer Anwendungen bereit.
137;offeneFrage;OSI;Wie heisst die OSI-Schicht 1? (englisch);;physical;Physical ist die englische Bezeichnung fuer die Bituebertragungsschicht.
138;offeneFrage;OSI;Wie heisst die OSI-Schicht 2? (englisch);;Data Link;Data Link ist die englische Bezeichnung fuer die Sicherungsschicht.
139;offeneFrage;OSI;Wie heisst die OSI-Schicht 3? (englisch);;Network;Network ist die englische Bezeichnung fuer die Vermittlungsschicht.
140;offeneFrage;OSI;Wie heisst die OSI-Schicht 4? (englisch);;Transport;Transport heisst auf Deutsch ebenfalls Transportschicht.
141;offeneFrage;OSI;Wie heisst die OSI-Schicht 5? (englisch);;Session;Session ist die englische Bezeichnung fuer die Sitzungsschicht.
142;offeneFrage;OSI;Wie heisst die OSI-Schicht 6? (englisch);;Presentation;Presentation ist die englische Bezeichnung fuer die Darstellungsschicht.
143;offeneFrage;OSI;Wie heisst die OSI-Schicht 7? (englisch);;Application;Application ist die englische Bezeichnung fuer die Anwendungsschicht.
144;offeneFrage;OSI;Wieviel Schichten gibt es?;;7;Das OSI-Referenzmodell besteht aus sieben Schichten.
145;offeneFrage;OSI;Was bedeutet das Protokoll TCP ausgeschrieben?;;Transmission Control Protokoll;TCP steht fuer Transmission Control Protocol.
146;offeneFrage;PowerShell;Wie schreibt man eine Zeichenkette in PowerShell?;;In Anfuehrungszeichen;PowerShell-Zeichenketten stehen in einfachen oder doppelten Anfuehrungszeichen.
147;offeneFrage;PowerShell;Wie beginnt man in PowerShell eine Variable?;;$;Ein Dollarzeichen kennzeichnet in PowerShell den Anfang eines Variablennamens.
148;offeneFrage;PowerShell;Welcher Operator prueft in PowerShell auf Gleichheit?;;#NAME?;Der PowerShell-Gleichheitsoperator lautet -eq.
149;offeneFrage;PowerShell;Wie greift man auf die Anzahl der Elemente eines Arrays zu?;;.Count;Die Eigenschaft .Count gibt die Anzahl der Arrayelemente an.
150;offeneFrage;PowerShell;Welcher Befehl zeigt den Inhalt einer Variable an?;;Write-Host;Write-Host schreibt Text direkt in die Konsole.
151;offeneFrage;PowerShell;Mit welchem Schluesselwort werden Parameter einer Funktion definiert?;;param;Mit param werden die Parameter einer Funktion definiert.
152;offeneFrage;PowerShell;Wie wird ein Kommentar in PowerShell eingeleitet?;;#;Das Zeichen # leitet einen einzeiligen Kommentar ein.
153;offeneFrage;PowerShell;Mit welchem Operator wird in PowerShell eine Variable erhoeht?;;++;Der Operator ++ erhoeht einen Zahlenwert um eins.
154;offeneFrage;PowerShell;Wie greift man auf das erste Element eines Arrays zu?;;[0];Arrays beginnen bei Index 0, deshalb bezeichnet [0] das erste Element.
155;offeneFrage;PowerShell;Welcher Operator prueft auf Ungleichheit?;;#NAME?;Der PowerShell-Operator fuer Ungleichheit lautet -ne.
156;offeneFrage;PowerShell;Welcher Operator negiert eine Bedingung in PowerShell?;;#NAME?;Mit -not wird ein logischer Ausdruck negiert.
157;offeneFrage;PowerShell;Wie kann man in PowerShell einen bestimmten Array-Index ansprechen?;;[Index];Ein Arrayelement wird mit seinem nullbasierten Index in eckigen Klammern angesprochen.
158;MultipleChoice;Netzwerk;Was macht DNS?;Vergibt IP-Adressen automatisch|Loest Domainnamen in IP-Adressen auf|Verschluesselt den Netzwerkverkehr|Regelt den Zugriff auf Netzwerkfreigaben;2;DNS loest Namen mithilfe von DNS-Eintraegen in IP-Adressen auf.
159;MultipleChoice;Netzwerk;Was macht DHCP?;Vergibt IP-Adressen automatisch an Clients|Loest Domainnamen in IP-Adressen auf|Ueberwacht den Netzwerkverkehr|Verwaltet Benutzerkonten im Netzwerk;1;DHCP teilt Clients automatisch IP-Adressen und weitere Netzparameter zu.
160;MultipleChoice;Netzwerk;Was macht DNS?;Vergibt IP-Adressen automatisch|Loest Domainnamen in IP-Adressen auf|Verschluesselt den Netzwerkverkehr|Regelt den Zugriff auf Netzwerkfreigaben;2;DNS loest Namen mithilfe von DNS-Eintraegen in IP-Adressen auf.
161;MultipleChoice;Netzwerk;Bei welcher DNS-Aufloesung uebernimmt der angefragte Server die komplette Suche?;Iterative Aufloesung|Rekursive Aufloesung|Statische Aufloesung|Reverse Aufloesung;2;Bei rekursiver Aufloesung beschafft der Resolver die vollstaendige Antwort.
162;MultipleChoice;Netzwerk;Auf welchem Port laeuft DNS standardmaessig?;Port 80|Port 53|Port 443|Port 25;2;DNS verwendet standardmaessig Port 53 ueber UDP oder TCP.
163;offeneFrage;Netzwerk;Auf welchem Port laeuft DNS standardmaessig?;;53;DNS-Anfragen verwenden standardmaessig Port 53.
164;offeneFrage;DHCP;Wofuer steht das Akronym DORA beim DHCP-Prozess?;;Discover, Offer, Request, Acknowledge;DORA bezeichnet die vier Schritte der DHCP-Adressvergabe.
165;MultipleChoice;DHCP;Welche Nachricht sendet der Client als ersten Schritt beim DHCP-Prozess?;Offer|Discover|Request|Acknowledge;2;Der Client beginnt die DHCP-Adresssuche mit Discover.
166;MultipleChoice;DHCP;Welche Nachricht sendet der DHCP-Server als Antwort auf den Discover?;Request|Offer|Acknowledge|Release;2;Der Server antwortet auf Discover mit einem Offer.
167;MultipleChoice;DHCP;Ist DHCP Discover ein Broadcast oder ein Unicast?;Unicast an den Server|Broadcast an alle Geraete im Netzwerk|Multicast an eine Gruppe|Anycast an den naechsten Server;2;Discover wird zu Beginn typischerweise als Broadcast gesendet.
168;MultipleChoice;OSI;Wie viel Layer hat das OSI Modell;5|7|4|9;2;Das OSI-Referenzmodell hat sieben Schichten.
169;MultipleChoice;OSI;Welche OSI-Schicht ist fuer die physische Uebertragung von Bits zustaendig?;Bituebertragungsschicht (Schicht 1)|Sicherungsschicht (Schicht 2)|Vermittlungsschicht (Schicht 3)|Transportschicht (Schicht 4);1;Schicht 1 uebertraegt Bits als physische Signale.
170;MultipleChoice;OSI;Auf welcher OSI-Schicht arbeitet ein Router hauptsaechlich?;Schicht 1 (Bituebertragung)|Schicht 2 (Sicherung)|Schicht 3 (Vermittlung)|Schicht 4 (Transport);3;Router vermitteln IP-Pakete hauptsaechlich auf Schicht 3.
171;MultipleChoice;OSI;Auf welcher OSI-Schicht werden MAC-Adressen verwendet?;Schicht 1 (Bituebertragung)|Schicht 2 (Sicherung)|Schicht 3 (Vermittlung)|Schicht 4 (Transport);2;MAC-Adressen werden der Sicherungsschicht zugeordnet.
172;MultipleChoice;OSI;Welche PDU gehoert zur OSI-Schicht 3?;Frame|Segment|Paket|Bit;3;Die Dateneinheit der Vermittlungsschicht ist ein Paket.
173;MultipleChoice;OSI;Welche PDU gehoert zur OSI-Schicht 2?;Bit|Frame|Paket|Segment;2;Die Dateneinheit der Sicherungsschicht ist ein Frame.
174;MultipleChoice;OSI;Welche OSI-Schicht ist fuer TCP und UDP zustaendig?;Vermittlungsschicht (Schicht 3)|Transportschicht (Schicht 4)|Sitzungsschicht (Schicht 5)|Darstellungsschicht (Schicht 6);2;TCP und UDP gehoeren zur Transportschicht.
175;MultipleChoice;OSI;Welche Information wird auf der Transportschicht unter anderem verwendet, um Anwendungen zu unterscheiden?;MAC-Adresse|IP-Adresse|Portnummer|Subnetzmaske;3;Portnummern unterscheiden Dienste und Anwendungen auf Schicht 4.
176;MultipleChoice;OSI;Welche OSI-Schicht ist fuer die logische Adressierung mit IP-Adressen zustaendig?;Sicherungsschicht (Schicht 2)|Vermittlungsschicht (Schicht 3)|Transportschicht (Schicht 4)|Sitzungsschicht (Schicht 5);2;IP-Adressen gehoeren zur logischen Adressierung auf Schicht 3.
177;MultipleChoice;OSI;Welche Schicht des OSI-Modells ist fuer die Darstellung und Formatierung von Daten zustaendig?;Sitzungsschicht (Schicht 5)|Transportschicht (Schicht 4)|Darstellungsschicht (Schicht 6)|Anwendungsschicht (Schicht 7);3;Schicht 6 behandelt die Darstellung und Kodierung von Daten.
178;MultipleChoice;OSI;Welche OSI-Schicht stellt Netzwerkdienste fuer Anwendungen bereit?;Anwendungsschicht (Schicht 7)|Darstellungsschicht (Schicht 6)|Sitzungsschicht (Schicht 5)|Transportschicht (Schicht 4);1;Die Anwendungsschicht stellt Netzwerkdienste fuer Anwendungen bereit.
179;MultipleChoice;PowerShell;Was macht Read-Host?;Gibt Text in der Konsole aus|Liest eine Eingabe des Benutzers ein|Liest eine Datei ein|Startet ein neues PowerShell-Fenster;2;Read-Host nimmt eine Benutzereingabe ueber die Konsole entgegen.
180;MultipleChoice;PowerShell;Was macht Write-Host?;Liest eine Benutzereingabe ein|Gibt Text in der Konsole aus|Schreibt in eine Datei|Beendet das Skript;2;Write-Host zeigt Text unmittelbar in der Konsole an.
181;MultipleChoice;PowerShell;Welche Schleife wird verwendet, wenn eine Bedingung geprueft werden soll?;foreach|while|switch|function;2;while wiederholt einen Codeblock, solange eine Bedingung zutrifft.
182;MultipleChoice;PowerShell;Was macht eine if-Bedingung?;Wiederholt einen Codeblock|Definiert eine Funktion|Codeblock nur bei wahrer Bedingung|Deklariert eine Variable;3;Ein if-Block wird nur bei wahrer Bedingung ausgefuehrt.
183;MultipleChoice;PowerShell;Was bedeutet -gt?;kleiner als (less than)|groesser als (greater than)|gleich (equal)|ungleich (not equal);2;-gt prueft, ob der linke Wert groesser als der rechte ist.
184;MultipleChoice;PowerShell;Was bedeutet -lt?;kleiner als (less than)|groesser als (greater than)|gleich (equal)|ungleich (not equal);1;-lt prueft, ob der linke Wert kleiner als der rechte ist.
185;MultipleChoice;PowerShell;Was ist ein Array?;Eine einzelne Variable mit einem Wert|Eine geordnete Sammlung mehrerer Werte|Eine Funktion mit mehreren Parametern|Ein Kommentarblock im Code;2;Ein Array haelt mehrere Werte in einer geordneten Sammlung.
186;MultipleChoice;PowerShell;Bei welchem Index beginnt ein Array in PowerShell normalerweise?;0|1|-1|100;1;Der erste PowerShell-Arrayeintrag hat normalerweise den Index 0.
187;MultipleChoice;PowerShell;Was macht $PSScriptRoot?;Gibt den Namen des aktuellen Benutzers zurueck|Pfad zum Verzeichnis des Skripts|Startet das Skript neu|Loescht alle Variablen;2;$PSScriptRoot enthaelt das Verzeichnis des ausgefuehrten Skripts.
188;MultipleChoice;PowerShell;Was ist der Zweck von param() in einer Funktion?;Definiert Funktionsparameter|Gibt einen Wert aus der Funktion zurueck|Startet die Funktion beim Skriptladen|Kommentiert den Funktionscode;1;param() legt die Eingabeparameter einer Funktion fest.
189;MultipleChoice;PowerShell;Was macht return in einer Funktion?;Startet die Funktion neu|Loescht die Funktion|Gibt einen Wert zurueck und beendet die Funktion|Definiert einen Parameter;3;return liefert einen Wert und beendet die aktuelle Funktion.
190;MultipleChoice;PowerShell;Welche Schreibweise erzeugt ein Array?;@(1,2,3)|{1,2,3}|(1;2;3)|#1,2,3
191;MultipleChoice;PowerShell;Was macht eine for-Schleife typischerweise?;Wiederholt Codeblock bestimmte Male|Prueft eine einzelne Bedingung ohne Wiederholung|Definiert eine neue Funktion|Liest eine Datei zeilenweise ein;1;Eine for-Schleife durchlaeuft Initialisierung, Bedingung und Fortschaltung.
192;MultipleChoice;PowerShell;Was bedeutet $i++?;Erhoeht die Variable $i um 1|Verringert die Variable $i um 1|Setzt $i auf 0 zurueck|Vergleicht $i mit 1;1;Der Operator ++ erhoeht $i um eins.
193;MultipleChoice;PowerShell;Was macht foreach?;Durchlaeuft jedes Element einer Sammlung|Prueft eine einzelne Bedingung|Definiert eine Variable|Beendet eine Schleife;1;foreach verarbeitet nacheinander die Elemente einer Sammlung.
194;MultipleChoice;PowerShell;Was macht .Trim() bei einem String?;Entfernt Leerzeichen am Anfang und Ende|Wandelt den String in Kleinbuchstaben um|Kehrt den String um|Teilt den String in ein Array;1;.Trim() entfernt standardmaessig Leerraum an beiden Enden eines Strings.
195;MultipleChoice;PowerShell;Was macht .ToLower()?;Wandelt den String in Kleinbuchstaben um|Wandelt den String in Grossbuchstaben um|Entfernt Leerzeichen|Gibt die Laenge des Strings zurueck;1;.ToLower() wandelt Buchstaben in Kleinbuchstaben um.
196;MultipleChoice;PowerShell;Was bedeutet -and?;Logisches ODER|Logisches UND|Logische Negation|Gleichheitsvergleich;2;#NAME?
197;MultipleChoice;PowerShell;Was ist der Datentyp [uint]?;Vorzeichenlose Ganzzahl (unsigned integer)|Zeichenkette (String)|Kommazahl (Float)|Boolescher Wert;1;[uint] bezeichnet einen vorzeichenlosen Ganzzahltyp.
198;MultipleChoice;PowerShell;Was passiert bei [uint]$Anzahl = -1?;$Anzahl wird auf 0 gesetzt|$Anzahl wird auf 1 gesetzt|Fehler: [uint] erlaubt keine negativen Werte|Wert wird automatisch zum String;3;Ein negativer Wert kann nicht als [uint] gespeichert werden.
199;MultipleChoice;PowerShell;Welche Schreibweise ermoeglicht Variablen innerhalb eines Strings?;"Einfache Anfuehrungszeichen ('...')|Doppelte Anfuehrungszeichen (""..."")|Eckige Klammern ([...])|Backticks alleine";2;In doppelt zitierten Strings ersetzt PowerShell Variablennamen durch ihre Werte.
200;MultipleChoice;PowerShell;Was macht $Fragen.Count?;Gibt den ersten Wert von $Fragen zurueck|Gibt die Anzahl der Elemente in $Fragen zurueck|Loescht $Fragen|Sortiert $Fragen;2;.Count gibt die Anzahl der Elemente in $Fragen zurueck.
201;MultipleChoice;PowerShell;Was macht Get-Random?;Sortiert eine Liste zufaellig neu|Generiert einen zufaelligen String|Waehlt zufaellig eine Datei aus|Liefert Zufallszahl oder Zufallselement;4;Get-Random liefert einen Zufallswert oder ein zufaelliges Sammlungselement.
202;MultipleChoice;Hardware;Wofuer steht das EVA-Prinzip?;Eingabe, Verarbeitung, Ausgabe|Erfassen, Verteilen, Anzeigen|Energie, Volumen, Arbeit|Eingabe, Verwaltung, Ablage;1;EVA beschreibt den grundlegenden Informationsfluss eines Rechners.
203;MultipleChoice;Hardware;Welche Komponente fuehrt Maschinenbefehle aus?;Netzteil|CPU|Gehaeuse|Massenspeicher;2;Die CPU verarbeitet Befehle und Daten.
204;MultipleChoice;Hardware;Welche Komponente haelt laufend benoetigte Daten fluechtig bereit?;Netzteil|Monitor|RAM|SSD;3;Arbeitsspeicher verliert seinen Inhalt ueblicherweise beim Ausschalten.
205;MultipleChoice;Hardware;Welche Schnittstelle verwendet NVMe typischerweise fuer schnellen Speicher?;VGA|PS/2|RJ45|PCIe;4;NVMe ist ein Protokoll fuer nichtfluechtigen Speicher ueber PCI Express.
206;MultipleChoice;Hardware;Was muss beim Kauf eines Prozessors zum Mainboard passen?;CPU-Sockel|Gehaeusefarbe|Monitorgroesse|Tastaturbelegung;1;Zusaetzlich sind Chipsatz, BIOS-Version und Stromversorgung zu pruefen.
207;MultipleChoice;Hardware;Welchen Zweck erfuellt das Netzteil eines PCs?;Verwalten der Dateirechte|Elektrische Versorgung der Komponenten|Speichern des Betriebssystems|Aufloesen von DNS-Namen;2;PSU steht fuer Power Supply Unit.
208;MultipleChoice;Hardware;Welche Teile gehoeren zur Von-Neumann-Architektur?;Nur Datentraeger und Netzwerk|Nur Tastatur und Drucker|CPU, Speicher, Ein/Ausgabe, Bus|Nur GPU und Bildschirm;3;"Rechenwerk und Steuerwerk bilden die CPU; Speicher, Ein-/Ausgabe und Bus ergaenzen sie."
209;MultipleChoice;Hardware;Was passiert in der Fetch-Phase des Befehlszyklus?;Ein Ergebnis wird ausgegeben|Ein Datentraeger wird formatiert|Ein Prozess wird geloescht|Ein Befehl wird aus dem Speicher geholt;4;Der Programmzaehler zeigt auf den naechsten auszufuehrenden Befehl.
210;MultipleChoice;Hardware;Was macht das Steuerwerk beim Decode?;Den geladenen Befehl interpretieren|Daten dauerhaft archivieren|Stromspannung glaetten|Dateien spiegeln;1;Es bestimmt Operation und benoetigte Operanden.
211;MultipleChoice;Hardware;Welche Aufgabe hat der Programmzaehler?;Dateisystem pruefen|Adresse des naechsten Befehls halten|Temperatur der CPU messen|IP-Adresse vergeben;2;Der Instruction Pointer zeigt auf den naechsten Befehl.
212;MultipleChoice;Hardware;Was wird ueber den Adressbus uebertragen?;Netzspannung|Grafikaufloesung|Auswahl der Speicherstelle|Ausschliesslich Nutzdaten;3;Der Adressbus adressiert Speicherzellen oder Geraete.
213;MultipleChoice;Hardware;Was uebertraegt der Steuerbus?;Nur Dateiinhalte|Nur Netzwerkpakete|Nur Audiodaten|Steuer- und Statussignale;4;Datenbus, Adressbus und Steuerbus uebernehmen unterschiedliche Aufgaben.
214;MultipleChoice;Hardware;Wozu dient ECC-RAM?;Bitfehler erkennen und korrigieren|Alle Backups ersetzen|CPU-Takt automatisch erhoehen|Daten dauerhaft speichern;1;"Einbitfehler koennen korrigiert werden; ECC ist keine Datensicherung."
215;MultipleChoice;Hardware;Welche Eigenschaft beschreibt Registered RAM?;Eigene Festplatte im RAM|Gepufferte Steuer-/Adresssignale|Immer verschluesselte Daten|Ausschliesslich hoehere Taktfrequenz;2;Ein Register entlastet den Speichercontroller elektrisch.
216;MultipleChoice;Hardware;Sind ECC und Registered dasselbe?;Nein, ECC ist eine Festplatte|Ja, beide meinen nur Paritaet|Nein, es sind verschiedene Eigenschaften|Ja, bei allen PCs;3;ECC dient der Fehlerkorrektur, Registered puffert Signale.
217;MultipleChoice;Hardware;Wofuer steht USB-C bei einem Anschluss?;Garantierte Datenrate|Immer Thunderbolt|Immer Videoausgabe|Steckerform;4;"USB-C beschreibt den Steckertyp; unterstuetzte Funktionen variieren je nach Geraet."
218;offeneFrage;Hardware;Welche drei Schritte beschreibt das EVA-Prinzip?;;Eingabe, Verarbeitung, Ausgabe;Es ist ein einfaches Modell der Datenverarbeitung.
219;offeneFrage;Hardware;Wie heisst die Einheit, die Rechenoperationen in der Von-Neumann-Architektur ausfuehrt?;;Rechenwerk;Das Rechenwerk wird haeufig als ALU der CPU umgesetzt.
220;offeneFrage;Hardware;Welche zwei Dinge muessen bei einem RAM-Upgrade mindestens kompatibel sein?;;RAM und Mainboard;"Generation, Bauform, Kapazitaet und unterstuetzter Takt sind zu pruefen; auch CPU-Unterstuetzung kann relevant sein."
221;MultipleChoice;Betriebssysteme;Ist UEFI ein Betriebssystem?;Nein, es ist Firmware|Nur unter Linux|Nur in einer VM|Ja;1;Firmware initialisiert die Hardware und startet den Bootloader.
222;MultipleChoice;Betriebssysteme;Was laedt ein Bootloader?;Nur Benutzerdateien|Betriebssystem oder Kernel|Nur DNS-Eintraege|Nur USB-Treiber;2;Der Bootloader startet nach der Firmware.
223;MultipleChoice;Betriebssysteme;Welche Reihenfolge beschreibt den Start vereinfacht?;Desktop → Firmware → Kernel|Bootloader → Netzteil → BIOS|Firmware → Bootloader → Kernel|Kernel → Bootloader → Firmware;3;"Die Firmware waehlt ein Startmedium; der Bootloader laedt den Kernel."
224;MultipleChoice;Betriebssysteme;Welcher Bootloader wird haeufig mit Linux eingesetzt?;NTFS|DNS|RAID|GRUB;4;GRUB ist ein verbreiteter Linux-Bootmanager.
225;MultipleChoice;Betriebssysteme;Welche Aufgabe uebernimmt ein Betriebssystem?;Prozesse und Speicher verwalten|Nur Bilder anzeigen|Nur Kabel pruefen|Nur Strom liefern;1;Weitere Aufgaben sind Dateien, Geraete, Rechte und Netzkommunikation.
226;MultipleChoice;Betriebssysteme;Was kennzeichnet den Linux-Verzeichnisbaum?;Jede Datei ist eine Partition|Ein gemeinsamer Baum mit Einhaengepunkten|Immer nur Laufwerk C:|Keine Verzeichnisse;2;Weitere Dateisysteme werden in den Verzeichnisbaum eingehaengt.
227;MultipleChoice;Betriebssysteme;Wie koennen Linux-Nutzer zeitweise Adminrechte erhalten?;Mit RAID 0|Mit NTFS|Mit sudo|Mit ping;3;sudo kann entsprechend berechtigten Konten administrative Befehle erlauben.
228;MultipleChoice;Betriebssysteme;Was ist ein typischer Vorteil von Server Core?;Mehr lokale GUI-Prozesse|Zwingend hoehere Lizenzkosten|Keine Fernverwaltung|Geringere Angriffsflaeche;4;Die reduzierte Oberflaeche benoetigt gewoehnlich weniger Ressourcen und Wartung.
229;MultipleChoice;Betriebssysteme;Wie werden PowerShell-Cmdlets typischerweise benannt?;Verb-Nomen|Port-Adresse|Datei-Sektor|Index-Wert;1;Beispiel: Get-WindowsFeature.
230;MultipleChoice;Betriebssysteme;Welches Cmdlet zeigt Windows-Netzwerkadapter?;New-VM|Get-NetAdapter|Get-NetRoute|Format-Volume;2;Get-NetAdapter listet vorhandene Adapter.
231;MultipleChoice;Betriebssysteme;Welches Werkzeug bietet eine browserbasierte Serververwaltung?;NTFS|iSCSI|Windows Admin Center|GRUB;3;Windows Admin Center ermoeglicht die Verwaltung ueber eine Weboberflaeche.
232;offeneFrage;Betriebssysteme;Welches Cmdlet setzt unter Windows eine neue IP-Adresse?;;New-NetIPAddress;Mit Parametern lassen sich Interface, Adresse, Praefix und Gateway festlegen.
233;offeneFrage;Betriebssysteme;Wie heisst die Windows-Datenbank fuer Bootkonfiguration abgekuerzt?;;BCD;Boot Configuration Data wird vom Windows Boot Manager genutzt.
234;offeneFrage;Betriebssysteme;Welche Firmwareart ist typisch fuer moderne GPT-Systemstarts?;;UEFI;Legacy-BIOS wird eher mit aelteren MBR-Konfigurationen verwendet.
235;MultipleChoice;Serverdienste;Was ist eine Serverrolle?;Nur eine Benutzergruppe|Einzelne Datei|Nur ein Betriebssystem-Update|Grundfunktion eines Servers;4;Beispiele sind AD DS, DNS, DHCP und Hyper-V.
236;MultipleChoice;Serverdienste;Was ist ein Rollendienst?;Auswaehlbarer Teil einer Rolle|Immer ein anderer Server|Ein Festplattentyp|Ein AD-Benutzer;1;Ein Rollendienst stellt eine Teilfunktion der Serverrolle bereit.
237;MultipleChoice;Serverdienste;Welches Cmdlet zeigt Windows-Rollen und Features?;Get-NetRoute|Get-WindowsFeature|Get-VM|Get-Disk;2;Der Befehl zeigt verfuegbare und installierte Rollen und Features.
238;MultipleChoice;Serverdienste;Welche Funktion hat Active Directory Domain Services?;Grafikausgabe|Festplattenverschluesselung|Zentrale Verwaltung von Domaenenobjekten|Exklusive Datensicherung;3;AD DS verwaltet unter anderem Benutzer, Gruppen und Computer.
239;MultipleChoice;Serverdienste;Was ist ein Domain Controller?;Nur ein WLAN-Repeater|Ein USB-Controller|Ein DHCP-Client|Server mit AD DS und Anmeldefunktion;4;Ein DC hostet den Verzeichnisdienst und verarbeitet Anmeldungen.
240;MultipleChoice;Serverdienste;Wofuer steht OU in Active Directory?;Organisationseinheit|Offline-Update|Open-Unicast|Optional User;1;OUs strukturieren Objekte und ermoeglichen gezielte Gruppenrichtlinien.
241;MultipleChoice;Serverdienste;Welche Aufgabe hat eine Gruppenrichtlinie?;USB-Anschluesse verwalten|Konfiguration zentral verteilen|Datenbloecke spiegeln|Pakete routen;2;GPOs wirken auf Benutzer oder Computer in einem geeigneten Geltungsbereich.
242;MultipleChoice;Serverdienste;Welches Verfahren nutzt AD haeufig zur Anmeldung?;NFS|RAID|Kerberos|FAT32;3;Kerberos verwendet Tickets zur Authentifizierung.
243;MultipleChoice;Serverdienste;Wozu dient SYSVOL?;Nur Backups auf Tape speichern|DNS-Caches loeschen|VLANs taggen|GPOs und Skripte bereitstellen;4;SYSVOL wird zwischen Domain Controllern repliziert.
244;MultipleChoice;Serverdienste;Was gilt fuer die Client-IP beim Domaenenbeitritt?;DHCP ist grundsaetzlich moeglich|Sie muss immer statisch sein|Sie muss oeffentlich sein|Sie muss IPv6 sein;1;Der Client muss vor allem den internen AD-DNS-Server erreichen und nutzen.
245;MultipleChoice;Serverdienste;Was pruefst du zuerst, wenn ein Client seine AD-Domaene nicht findet?;Dateinamen der Backups|Internen DNS-Server des Clients|Monitoraufloesung|RAID-Level;2;AD benoetigt funktionierende DNS-Aufloesung fuer Domaenendienste.
246;MultipleChoice;Serverdienste;Welche DNS-Records helfen bei der Suche nach AD-Diensten?;PTR|CNAME|SRV|MX;3;SRV-Eintraege lokalisieren Dienste wie LDAP und Kerberos.
247;MultipleChoice;Serverdienste;Welche Abweichung kann Kerberos-Anmeldungen stoeren?;Andere Monitorgroesse|Zusaetzliche USB-Maus|Grosse Partition|Starke Zeitabweichung;4;"Kerberos ist zeitkritisch; in der ueblichen AD-Konfiguration sind ueber fuenf Minuten problematisch."
248;MultipleChoice;Serverdienste;Welches Cmdlet installiert die AD-DS-Rolle auf Windows Server?;Install-WindowsFeature|Get-ComputerInfo|Install-RemoteAccess|Get-ADUser;1;"Mit dem Rollennamen AD-Domain-Services wird zunaechst die Rolle installiert; die Heraufstufung folgt gesondert."
249;MultipleChoice;Serverdienste;Welches Cmdlet erstellt einen neuen AD-Forest?;Resolve-DnsName|Install-ADDSForest|New-ADUser|Get-WindowsFeature;2;Install-ADDSForest stuft den Server dabei zum Domain Controller herauf.
